#EventID;Time;Latitude;Longitude;Depth-Km;Author;Catalog;Contributor;ContributorID;MagType;Magnitude;MagAuthor;EventLocationName
7073641;24-08-2016 01:36:32;42,7038;13,2382;4,2;BULLETIN-INGV;;;;Mw;6;--;Rieti
7073771;24-08-2016 01:40:46;42,7928;13,1968;3,5;SURVEY-INGV;;;;ML;3,8;--;Ascoli Piceno
7073781;24-08-2016 01:41:39;42,7807;13,1523;7,1;SURVEY-INGV;;;;ML;3,9;--;Perugia
7073901;24-08-2016 01:46:12;42,7613;13,1532;5,5;SURVEY-INGV;;;;ML;3,7;--;Perugia
7074061;24-08-2016 01:52:43;42,657;13,2327;10,8;SURVEY-INGV;;;;ML;3,1;--;Rieti
7074171;24-08-2016 01:56:01;42,6138;13,275;4,8;SURVEY-INGV;;;;ML;4,4;--;Rieti
7074291;24-08-2016 01:57:23;42,7173;13,229;10,8;SURVEY-INGV;;;;ML;3,4;--;Rieti
7074411;24-08-2016 02:01:08;42,7982;13,2553;8,5;SURVEY-INGV;;;;ML;3,9;--;Ascoli Piceno
7074621;24-08-2016 02:05:56;42,6072;13,2762;10,3;SURVEY-INGV;;;;ML;3,9;--;Rieti
7074701;24-08-2016 02:07:30;42,6577;13,3182;9,6;SURVEY-INGV;;;;ML;3,8;--;Rieti
7074841;24-08-2016 02:09:56;42,7417;13,1987;8,6;SURVEY-INGV;;;;ML;3,6;--;Rieti
7075001;24-08-2016 02:10:56;42,7577;13,1877;10,7;SURVEY-INGV;;;;ML;3,8;--;Rieti
7075081;24-08-2016 02:12:12;42,8107;13,1587;10,2;SURVEY-INGV;;;;ML;3,5;--;Perugia
7075191;24-08-2016 02:13:57;42,773;13,1677;10,7;SURVEY-INGV;;;;ML;3,7;--;Perugia
7075371;24-08-2016 02:19:44;42,635;13,2317;10,1;SURVEY-INGV;;;;ML;3,8;--;Rieti
7075961;24-08-2016 02:28:58;42,6263;13,2787;10,5;SURVEY-INGV;;;;ML;3,2;--;Rieti
7076031;24-08-2016 02:30:49;42,8052;13,1162;3,8;SURVEY-INGV;;;;ML;3,4;--;Perugia
7076121;24-08-2016 02:32:29;42,8118;13,1537;8,5;SURVEY-INGV;;;;Md;2,5;--;Perugia
7076161;24-08-2016 02:33:29;42,7935;13,1537;8,7;SURVEY-INGV;;;;Mw;5,3;--;Perugia
7076501;24-08-2016 02:44:54;42,6368;13,2447;10,5;SURVEY-INGV;;;;ML;2,8;--;Rieti
7076791;24-08-2016 02:48:52;42,7948;13,1598;6,8;SURVEY-INGV;;;;ML;3;--;Perugia
7076931;24-08-2016 02:51:26;42,7682;13,2217;6,2;SURVEY-INGV;;;;ML;3,7;--;Ascoli Piceno
7077041;24-08-2016 02:54:14;42,739;13,1767;6;SURVEY-INGV;;;;ML;3,1;--;Rieti
7077061;24-08-2016 02:54:14;42,7422;13,2033;9,5;SURVEY-INGV;;;;ML;3,1;--;Rieti
7077131;24-08-2016 02:55:40;42,6512;13,279;1,2;SURVEY-INGV;;;;ML;3,5;--;Rieti
7077321;24-08-2016 02:59:35;42,7985;13,1425;9;SURVEY-INGV;;;;ML;4,1;--;Perugia
